,path,value
411,./dimensions/0/topics/3/indicators/2/minValue,0
412,./dimensions/0/topics/3/indicators/2/maxValue,4
413,./dimensions/0/topics/3/indicators/2/level,2
414,./dimensions/0/topics/3/indicators/2/transfValue,0.0
415,./dimensions/0/topics/3/indicators/2/valueExists,0
416,./dimensions/0/topics/3/indicators/2/digits,0
417,./dimensions/0/topics/3/indicators/2/outlier,False
418,./dimensions/0/topics/3/indicators/3/code,i4011
419,./dimensions/0/topics/3/indicators/3/sourceVersion,3
420,./dimensions/0/topics/3/indicators/3/weight,1
421,./dimensions/0/topics/3/indicators/3/value,3
422,./dimensions/0/topics/3/indicators/3/minValue,0
423,./dimensions/0/topics/3/indicators/3/maxValue,6
424,./dimensions/0/topics/3/indicators/3/level,5
425,./dimensions/0/topics/3/indicators/3/transfValue,50.0
426,./dimensions/0/topics/3/indicators/3/valueExists,1
427,./dimensions/0/topics/3/indicators/3/digits,0
428,./dimensions/0/topics/3/indicators/3/outlier,False
429,./dimensions/0/topics/3/indicators/4/code,i4031
430,./dimensions/0/topics/3/indicators/4/sourceVersion,3
431,./dimensions/0/topics/3/indicators/4/weight,3
432,./dimensions/0/topics/3/indicators/4/value,1
433,./dimensions/0/topics/3/indicators/4/minValue,0
434,./dimensions/0/topics/3/indicators/4/maxValue,5
435,./dimensions/0/topics/3/indicators/4/level,2
436,./dimensions/0/topics/3/indicators/4/transfValue,20.0
437,./dimensions/0/topics/3/indicators/4/valueExists,1
438,./dimensions/0/topics/3/indicators/4/digits,0
439,./dimensions/0/topics/3/indicators/4/outlier,False
440,./dimensions/0/topics/3/indicators/5/code,i4046
441,./dimensions/0/topics/3/indicators/5/sourceVersion,3
442,./dimensions/0/topics/3/indicators/5/weight,2
443,./dimensions/0/topics/3/indicators/5/value,3
444,./dimensions/0/topics/3/indicators/5/minValue,0
445,./dimensions/0/topics/3/indicators/5/maxValue,4
446,./dimensions/0/topics/3/indicators/5/level,3
447,./dimensions/0/topics/3/indicators/5/transfValue,75.0
448,./dimensions/0/topics/3/indicators/5/valueExists,1
449,./dimensions/0/topics/3/indicators/5/digits,0
450,./dimensions/0/topics/3/indicators/5/outlier,False
451,./dimensions/0/topics/4/code,t210
452,./dimensions/0/topics/4/level,7
453,./dimensions/0/topics/4/score,97.57
454,./dimensions/0/topics/4/weight,3
455,./dimensions/0/topics/4/position,0
456,./dimensions/0/topics/4/indicators/0/code,i4005
457,./dimensions/0/topics/4/indicators/0/sourceVersion,3
458,./dimensions/0/topics/4/indicators/0/weight,3
459,./dimensions/0/topics/4/indicators/0/value,97.56715294662499
460,./dimensions/0/topics/4/indicators/0/minValue,0
461,./dimensions/0/topics/4/indicators/0/maxValue,100
462,./dimensions/0/topics/4/indicators/0/level,6
463,./dimensions/0/topics/4/indicators/0/transfValue,97.57
464,./dimensions/0/topics/4/indicators/0/valueExists,1
465,./dimensions/0/topics/4/indicators/0/digits,2
466,./dimensions/0/topics/4/indicators/0/outlier,False
467,./dimensions/0/topics/5/code,t204
468,./dimensions/0/topics/5/level,6
469,./dimensions/0/topics/5/score,75.72
470,./dimensions/0/topics/5/weight,15
471,./dimensions/0/topics/5/position,0
472,./dimensions/0/topics/5/indicators/0/code,i3021
473,./dimensions/0/topics/5/indicators/0/sourceVersion,3
474,./dimensions/0/topics/5/indicators/0/weight,3
475,./dimensions/0/topics/5/indicators/0/value,41.25
476,./dimensions/0/topics/5/indicators/0/minValue,0
477,./dimensions/0/topics/5/indicators/0/maxValue,100
478,./dimensions/0/topics/5/indicators/0/level,6
479,./dimensions/0/topics/5/indicators/0/transfValue,41.25
480,./dimensions/0/topics/5/indicators/0/valueExists,1
481,./dimensions/0/topics/5/indicators/0/digits,2
482,./dimensions/0/topics/5/indicators/0/outlier,False
483,./dimensions/0/topics/5/indicators/1/code,i3022
484,./dimensions/0/topics/5/indicators/1/sourceVersion,3
485,./dimensions/0/topics/5/indicators/1/weight,3
486,./dimensions/0/topics/5/indicators/1/value,112.12
487,./dimensions/0/topics/5/indicators/1/minValue,0
488,./dimensions/0/topics/5/indicators/1/maxValue,100
489,./dimensions/0/topics/5/indicators/1/level,7
490,./dimensions/0/topics/5/indicators/1/transfValue,100.0
491,./dimensions/0/topics/5/indicators/1/valueExists,1
492,./dimensions/0/topics/5/indicators/1/digits,2
