NO_MUNICIPIO;Extrativa Mineral;Prod. Mineral Não Metálico;Indústria Metalúrgica;Indústria Mecânica;Elétrico e Comunic;Material de Transporte;Madeira e Mobiliário;Papel e Gráf;Borracha. Fumo. Couros;Indústria Química;Indústria Têxtil;Indústria Calçados;Alimentos e Bebidas;Serviço Utilidade Pública;Construção Civil;Comércio Varejista;Comércio Atacadista;Instituição Financeira;Adm Técnica Profissional;Transporte e Comunicações;Aloj Comunic;Médicos Odontológicos Vet;Ensino;Administração Pública;Agricultura;Outros. ignorados;Total
MT-LUCIARA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1181.3161111111;0;0;1245.6699999999;3329.254999999;0;0;0;2241.332413793;2390.7886956523;0;2201.0088449847
MT-VILA BELA DA SANTISSIMA TRINDADE;1041.468;1870.6125000008;935.99;0;0;0;1359.0333333334;0;0;0;0;0;1521.5674666666;0;113.2071794872;2115.1984879724;1767.426;14458.3231034459;1953.2581249998;2864.9794999999;845.2113513513;2416.0267241379;2157.6600000002;3460.9106390977;2688.7119921298;0;2793.2358465909
MT-MARCELANDIA;2059.8199999994;1599.4063157894;1458.0620833333;1800;0;0;1997.5239036144;1235.4049999993;0;0;1992.5033333333;0;734;2096.9522222223;3065.647857143;1842.4869178082;3078.5428865976;10196.4721428553;1990.9959999999;2275.6710687021;1304.1086111112;1373.6668421052;1757.0163157894;2702.5828900709;2507.4696829268;0;2391.3568881505
MT-MATUPA;5152.9314999996;2577.9574418607;1466.5748484848;3039.6923404257;0;0;1850.222247191;1952.7799999993;1725.5147826086;0;1812.6225000001;0;2305.4910665137;1994.4447368422;1009.5640277778;1898.225799458;6821.4223177077;17176.0990384604;3548.2366137567;4580.5877708332;1338.6436915888;2047.3175438595;1319.605862069;3718.8339269407;3503.4082442748;55956.8799999952;3172.6407570641
MT-MIRASSOL D OESTE;0;1640.5110344828;1567.8286363636;1781.6121739129;1801.8299999991;2232.7032000002;1563.7638888889;2424;1506.3449999997;3322.161009772;1155.037142857;0;2157.9236871508;3880.6440000001;2141.2517523364;2039.9171948998;3177.2254838711;13032.4390999999;2372.6980566802;1129.8259189189;1973.6993004115;2270.5881699345;1762.1141095889;4836.9826960783;2368.3405950841;0;2324.1598214512
MT-NOBRES;3717.005862069;4865.7527215192;271.915875;1453.149285714;0;0;1487.3100000001;1646.3299999996;0;1245.6699999999;1228.835;0;2263.5009999994;5192.497368422;4167.8889781021;1745.9825578035;1845.0916666666;9780.9351282053;2395.7059622642;1910.5755769231;1514.9234146341;2051.7478378379;1399.00875;3397.7130307941;2775.2422849463;2649.5666666664;2850.9249010655
MT-NORTELANDIA;0;1212;0;0;0;0;0;0;0;1900;0;0;2901.4309523807;2420.5423809524;1700;1396.4177981651;2257.2662500001;3717.9457142848;1914.0660869567;2443.8775;694.296388889;1199.2300000005;0;3662.6866533863;3418.5545283019;0;3042.0435650224
MT-NOSSA SENHORA DO LIVRAMENTO;3217.193906606;1792.8028125001;0;0;0;0;1545.36;0;0;2049.2863157897;0;0;2814.0446527774;0;2568.3466666664;1741.9897252747;2740.0004347827;37563.9774999931;1773.9202222221;2051.6162499997;2124.3528333334;1407.2549999999;1407.645;3085.1257307692;1819.6883729433;0;2690.5746671949
MT-NOVA BANDEIRANTES;5252.3333333331;1426.5770000001;1890.4149999996;0;2280.7766666667;0;2169.6428651687;0;1212;0;999.9000000004;0;1169.2316666669;3575.0185714279;2089.1956666664;2055.5869646569;3306.0608333335;6697.0107142851;2071.6220000001;1912.2704225354;1809.2315789474;1443.0790909094;1320.2371428571;3057.5830188677;3151.2412574853;0;2652.1172722513
MT-NOVA NAZARE;2013.1900000009;0;0;0;0;0;0;0;0;0;0;0;1050.4000000004;0;1274.2300000005;1377.4995999999;0;0;0;6530.496000002;809;0;0;3257.6845454543;2188.8906043956;0;2307.0019409284
MT-NOVA LACERDA;3021.5033333334;97.9877777778;1453.2199999997;0;0;0;0;0;0;0;0;0;0;2265.0233333334;5556.3645098038;1613.9793814433;185.7142857143;6214.5426666658;1084.8236363635;5084.8344262298;1615.5630434785;1117.725;1754.3000000008;3767.5160396039;3152.7602643171;0;3118.0792201835
MT-NOVA SANTA HELENA;2656.3136363637;2902.2684615387;2488.4212499999;0;0;0;1506.446511628;0;0;0;0;0;2200;0;2955.5500000008;1555.518041237;3136.6359322036;8435.2716666688;1456.1378723404;2841.8599999997;1428.8616666666;1237.8100000005;0;3888.2988205128;2394.7296917808;0;2722.8255813954
MT-NOVA BRASILANDIA;0;0;0;0;0;0;0;0;0;0;0;0;1193.1466666665;2833.7520000009;16829.6316666603;1285.8584210525;2428.8000000008;6115.9441666675;1749.7940000003;2847.5214285711;1772.5187500001;1252.0499999998;0;2850.6442338709;2409.6249032257;31944.6100000143;2874.4120703653
MT-NOVA CANAA DO NORTE;881.1066666668;2078.5525000007;494.444;1986.5222222224;0;0;1643.6287499999;0;2291.0475000003;0;0;0;2311.7104416403;0;1502.1870370371;2057.1444386422;834.7686666666;8889.7836363609;9449.9674999989;1816.8694;1400.6748275862;1501.5327272726;1760.0500000003;3595.2594810379;3004.4570207254;0;2978.9308513341
MT-NOVA MUTUM;2774.6760000002;2293.2281308411;1889.6319620253;1862.9855932203;0;1782.9192857142;2229.6773529411;1544.6716666667;2178.2028813558;5149.0606910569;1785.7553333333;0;2808.0469696162;3738.9997435896;2754.0509625;2892.8804824677;4349.7207069848;17746.0285714282;2960.0473349439;1961.3937456648;3632.8930535715;2152.5597001764;2392.1965902579;4869.6743193998;3353.2635663984;0;3274.7237706489
MT-NOVA OLIMPIA;0;1192.7193103449;2010.2257377049;1570.6833333334;0;0;1761.348;1087.4333333336;0;3914.1782620232;1375.3853333333;0;1147.1683333335;1112.2050000001;2119.1048275864;1791.2829127725;1505.5083333332;15125.0350000011;2101.5859292034;5564.6934962406;1924.5105109488;1720.8109803924;1364.7268421053;5297.8191666667;2289.1678892733;0;3582.3748725997
MT-NOVA UBIRATA;0;27254.1149999928;1586.7162500001;0;2478.8099999999;0;2547.1481651375;0;0;0;0;0;1762.925652174;3674.8116666662;2428771;1878.6458762888;6950.5971098262;13055.7956666637;4780.5572857148;3454.101509434;1829.5840277779;1480.1974999998;1251.5128571428;3851.0750338295;3106.1824646464;0;3357.5102816901
MT-NOVA XAVANTINA;5453.6912582781;1168.6076470588;1467.2279411765;1623.915;0;0;0;1775.0409999998;0;0;1608.0349999995;1240.0549999997;1705.2373575129;2208.8055555559;1651.4216666667;1904.6293573264;2366.9304417669;14169.295555556;2632.71928934;2691.8723809525;1221.9700561798;1668.5856666667;2327.2414925374;4780.6925666199;2607.0930874317;8640.326000002;3237.0841958887
MT-NOVO MUNDO;0;0;0;0;0;0;1953.8942857143;0;0;0;0;0;1144.1999999997;3058.7228571428;2472.4933333338;2362.5836363633;2644.0758666667;3561.0825;2354.5238461542;1903.3259550562;1558.4711111112;1076.5325000002;1684.25;3721.0591349481;2379.6903802282;0;3094.3024153846
MT-NOVO HORIZONTE DO NORTE;0;0;0;0;0;0;0;0;0;0;0;0;2344.185000001;0;2776.4066666675;1864.8002127659;1531.1875;4071.5079999998;1183.3542857144;2940.4949999997;821.585;1396.6400000006;0;2677.3749783549;2650.7955905511;0;2567.0677252252
MT-NOVO SAO JOAQUIM;0;2443.0166666663;0;0;0;0;0;0;0;0;6542.4700000007;0;1409.8766666669;4569.9246666665;2272.6500000004;1796.9898540145;1544.2999999996;18265.1250000056;1989.5454285714;2202.1156521739;1642.7600000004;1503.835;1815.1500000004;3429.8491827958;3607.2824474187;0;3470.6160431655
MT-PARANAITA;3006.0100000016;1849.7791666668;1551.7325000004;0;0;0;1510.6594117649;0;0;0;0;0;1685.7833333332;22434.178823528;1600.553367347;1979.3104038005;1703.1580000004;19752.9495121931;1371.6690277778;2549.8728205128;1904.4067469879;1560.628888889;1842.3757142861;4290.9452919707;2509.0040940767;0;3464.0588296812
MT-PARANATINGA;3889.598414634;1746.5433333332;1830.194516129;1555.4700000002;0;1873.0525;1235.1960000001;0;1212;761.71;1071.25;0;2739.048631139;14304.5324999969;217.9016477273;2111.7844186046;7084.3830204077;11203.3848979574;2315.0714027149;2057.9016309013;1240.8641764706;1934.3525641027;1539.9763333333;5351.0083630952;2682.5570032706;0;2760.9851021241
MT-NOVO SANTO ANTONIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1713.9584615381;0;0;0;3284.3399999999;2489.1600000002;0;0;2514.7222844828;2191.6973529413;0;3204.7442345275
MT-PEDRA PRETA;0;1692.327142857;1634.4506249997;2544.0854545452;0;0;1818.6575000007;1125.4299999997;2858.8505847952;1668.5244444443;0;0;2670.3154475982;2019.1891666665;1344.2090510949;1681.182098501;2069.6825490194;12922.9649999962;1806.4597326203;1756.12;939.5761325967;1499.5593103449;1784.9427272723;4081.9459886201;3293.4293686425;0;2994.0181131436
MT-PEIXOTO DE AZEVEDO;4280.93674;1174.6663636362;1895.5333333332;3633.801875;1245.6699999999;2977.7766666661;1688.642222222;1721.2966666669;0;0;1279.3300000001;0;1438.4104761906;2126.4918750004;2800.028313253;1891.1587139106;2275.4630039525;13152.3905882342;1708.3172727273;2291.0396875001;2214.8500615386;1808.2324050634;1796.2988235297;4452.6559767892;2906.4541985816;0;3072.094556188
MT-PLANALTO DA SERRA;3519.6939999998;1561.4899999997;0;0;0;0;0;0;0;0;0;0;0;0;1805.6600000002;1525.7419999999;2615.5566666673;25853.5700000152;1136.9583333333;7071.7984615378;1373.85;0;0;2936.7109375;3370.8923456789;0;4135.448325926
MT-POCONE;3789.6857697841;507.6225000001;1030.5024999999;2194.8432051281;2345.706666667;0;1237.1012500001;636.2999999998;0;1844.3900000006;0;0;1830.0557142855;2034.4173333337;3036.4185507247;1883.0101807229;4475.4599999997;12931.7258064504;2244.2610285714;2711.3054054055;3779.1463705104;1895.9960130719;2087.1947500001;3789.7213524185;1863.4523551172;0;2938.6898654614
MT-PONTAL DO ARAGUAIA;0;0;0;0;0;0;0;0;0;0;1015.3779999999;0;1513.6925000001;0;2142.7964705882;2453.5950526314;1785.00875;0;2076.0881935484;1653.2096774194;1346.1390909092;1799.3390909091;1546.1118749999;3854.4796135267;2533.9278389829;0;2633.7444362745
MT-PONTE BRANCA;0;0;0;0;0;0;1020.3233333336;0;0;0;0;0;2281.0399999991;0;0;1500.903076923;0;0;1818;2516.3466666676;1335.3699999992;0;0;2680.8982142857;1944.3828947367;0;2403.9226141078
