NO_MUNICIPIO;Extrativa Mineral;Prod. Mineral Não Metálico;Indústria Metalúrgica;Indústria Mecânica;Elétrico e Comunic;Material de Transporte;Madeira e Mobiliário;Papel e Gráf;Borracha. Fumo. Couros;Indústria Química;Indústria Têxtil;Indústria Calçados;Alimentos e Bebidas;Serviço Utilidade Pública;Construção Civil;Comércio Varejista;Comércio Atacadista;Instituição Financeira;Adm Técnica Profissional;Transporte e Comunicações;Aloj Comunic;Médicos Odontológicos Vet;Ensino;Administração Pública;Agricultura;Outros. ignorados;Total
MS-ROCHEDO;1455.1375000002;0;2500;2580;1151.4000000004;0;0;0;0;0;0;0;2337.485778032;0;4427.3403846157;1644.6959722223;1785.5150000006;4724.7766666669;1589.9612499999;1706.3213333335;1260.4045000001;1970.7349999999;1262.7949999999;3188.0090000001;1801.563187067;0;2276.0883845724
MS-SANTA RITA DO PARDO;0;0;1245.6699999999;0;0;0;2267.4457142856;0;0;0;0;0;2131.5157297297;3851.0975000005;1188.0879999997;1493.9214044944;2429.3000000008;4533.5462499985;1703.2371428572;2106.3675000002;1485.4268421051;1301;912.2599999998;2978.743812825;2610.5366817156;9200;2570.9884119629
MS-SAO GABRIEL DO OESTE;1294.335;2765.2210714284;2212.0749056605;3289.4818333324;0;2570.927333333;2783.835555556;1360.8983333334;1439.9273333332;2846.9742857144;1263.5450000002;0;2736.2201225571;3432.278421053;1740.9459090908;2319.2879190341;6307.2513816929;17570.8469035541;2802.8643891401;2351.5478145696;2086.3532288402;1857.6781012658;2022.443631579;4883.97621875;2726.4618864578;0;3274.31315805
MS-SETE QUEDAS;0;1699.665;1845.3180000003;0;0;0;1862;0;1893.3866666673;1729.166666667;33.7577027027;0;2176.4381632654;3840.3225000007;1944.8478571429;1829.720118577;2713.6026530611;9432.4922222243;1856.6385714287;1929.5359574468;1174.6108333333;1441.4207692305;727.2;3847.4675498577;2063.2096825395;8700;2493.3221880065
MS-SELVIRIA;0;1789.7371428574;1555.1705263158;0;0;0;1510.4266666664;3026.6819674796;0;0;1372.2799014778;0;2556.9238235293;23009.7707692317;1476.6335714288;2021.8197478992;0;25484.2470000014;1891.1908333333;1668.5431372549;2011.9155555558;1907.6978260869;1271.2800000003;3303.8629516995;2448.8817357002;0;4218.9629376499
MS-SIDROLANDIA;3106.8791666663;1817.3117431195;1054.51728;1777.2481481481;1380.7266666666;0;1297.8942857143;1557.8864705884;0;3037.7607692317;1284.9705714285;0;2102.177146823;2852.4551428573;2875.1479187816;2017.479410496;5117.3025414367;15840.8130952381;2516.2072750643;1956.9296569468;2853.1920228387;2057.2743636365;2241.3262857144;3308.1575;2221.1949275998;0;2661.4390947011
MS-SONORA;0;992.0855555557;3061.3955555552;2386.3000000008;0;0;1979.4933333329;3000;0;3511.7808102346;1406.3466666664;0;1858.8863636363;5670.1624999985;2787.0560493828;1544.0420574163;4764.2966129032;22255.3940000015;1573.1336842105;1846.0964204545;1371.7273913043;2525.6027200001;1756.0331249998;3889.7136075951;3223.3286653956;4948.7124999994;3068.5070851155
MS-TACURU;0;0;0;0;0;0;0;0;0;0;0;0;1425.1710526313;0;1260.335;1574.8605607475;4392.6506818185;5516.1642857141;1814.1083333328;2049.7111111107;1344.2529824562;2480.0559999987;622.8300000001;2945.5386622807;2325.9623857868;0;2535.1251392632
MS-TAQUARUSSU;0;1223.1899999995;865.915;0;0;0;0;0;0;0;0;0;0;3420.5749999993;1456.2075;1560.3824999998;0;4124.1574999988;4151.8976923078;1717.4232258065;1680.7581818185;0;0;3227.2562068967;1979.7803956834;0;2633.2590588236
MS-TERENOS;6830.5123076927;2060.399854369;1494.9100000002;3138.379999999;0;1446.6699999999;0;0;1369.25;2051.2578571426;0;0;2994.3477863776;2890.379375;2485.1412941178;1978.3566559485;1853.273258427;7991.7300000002;1936.52203125;2595.5651785713;1283.9805660378;1360.8254545454;924.1599999999;3255.7330056179;2569.0717935943;0;2818.8182509506
MS-TRES LAGOAS;2245.5478048781;1978.4961403509;3426.6326227547;2534.783659091;1867.8965573773;2966.913258427;1934.6501851852;7345.2248822883;2481.3111926607;4975.7515111696;2360.3946776859;1733.9439807692;2647.6169362746;9334.0543956045;2962.5080804954;2345.8288078603;2875.5584337349;18274.5651003986;2819.8111604881;3260.103784428;1929.7903893152;2549.6140820734;2461.5527327071;5384.1129867634;3741.6759512937;2794.7712499998;3717.2099703264
MS-VICENTINA;0;1365.105;1598.8733333337;0;0;0;3125;0;1458.8955364807;3266.4741176471;0;0;2022.7025641026;0;13064.8374999999;1559.7814678899;0;5100.0942857154;1469.4664705884;1399.7883333331;1359.5560869565;1328.39;1328.8939999998;3210.007060241;2470.8276875;0;2616.8949750312
MT-ACORIZAL;1289.1099999994;1278.184;0;2968.6018181819;0;0;0;0;0;0;0;0;7281.7448554911;0;1928.8645454542;1658.5529577464;1548.584;4907.738000001;1551.355;3006.2766666673;1214.2752;0;0;1819.8019999996;1734.362;0;3778.6087157894
MT-AGUA BOA;3425.9759375001;2235.6817241378;2322.5875903614;2342.2250000001;1500;1962.2438461541;3087.1339393942;2289.5900000008;2227.1618518519;1411.2824999997;1383.105;0;3402.4118209877;3537.6624999987;1983.8036170213;2383.7649192101;4844.5117677824;15476.4518390795;2915.0114133335;3037.0194039735;5189.6639499999;2977.6732303372;5356.401779661;4776.7240348526;3043.1958289397;0;3594.2857969906
MT-ALTA FLORESTA;3034.2057777777;2185.2075;1998.8494059408;1973.4492857142;1632.2457142858;2052.788333333;2046.3950411522;2121.5715384614;1491.2289999997;1143.1883333333;1862.6115286625;0;2561.0060808081;5335.9897727271;2789.9394801223;2353.4614026212;4236.3962629248;14199.4938071063;2165.2588307985;2862.4040625001;1895.6042708333;2119.6995061729;2467.6689024389;4574.4496135721;2776.7614690265;0;2905.6382633757
MT-ALTO ARAGUAIA;2807.0000000002;2481.3900000006;409.986666667;2084.2121428571;0;0;1652.8100000001;1666.5800000005;0;0;0;0;2663.4977259475;10425.1766666646;1193.8115094341;1816.0286200378;3032.4426760562;22006.6753333359;2172.7734615386;4558.8336585369;7574.1078830643;3296.6803749996;1627.4774358975;4384.8858396947;2470.1451841746;0;3805.4901518309
MT-ALTO BOA VISTA;0;1531.0549999997;0;0;1249.0299999993;0;1208.7400000002;0;0;0;0;0;2266.5250000004;0;2944.4871428571;1420.3679411764;2508.221428571;7650.6828571429;1476.5433333333;2196.1608333332;1117.7928571427;0;0;4479.4819047621;2094.656484375;0;3167.5300554786
MT-ALTO GARCAS;1917.4999999996;0;2820.8450000007;1372.6699999999;0;0;1245.6699999999;0;0;0;0;0;218.8683333335;0;1658.1408333337;1777.377460815;5129.411022727;8221.3242105261;1381.8227710843;2771.6599009903;1407.5013559323;1765.0649999997;1803.7100000009;3898.6425393699;4206.0827484834;0;3788.7601130722
MT-ALTO PARAGUAI;0;1716.6106666668;0;0;0;0;0;0;0;0;0;0;8199.5999999978;10187.8100000024;3073.6070588234;1430.2725274726;1568.9299999997;4372.3300000003;1177.6666666667;2401.3366666672;876.8519999998;0;0;2339.1942931937;2365.5892703862;0;2267.7933420707
MT-ALTO TAQUARI;0;0;2468.7399999999;0;0;0;0;2041.0299999993;0;3959.2242122186;0;0;3580.6352941174;2106.7480000004;1431.4945833333;2009.7770642202;5233.2747916672;14552.6456000026;3031.0442105262;2632.9847619045;2165.4047058824;1456.8316666667;1746.8600000001;4697.1866015623;2687.8223216783;0;3460.5739694408
MT-APIACAS;1580;1634.440769231;655.9333333336;1131.1999999993;0;0;1717.2557499999;0;0;0;0;0;1364.4000000001;0;2733.8799999999;2058.9548433048;2135.6813043476;4446.5466666658;1750.0158974358;1591.0365;2172.0894285716;1260.7600000002;0;3671.3354255321;2418.7168145161;0;2751.3939541547
MT-ARAGUAIANA;0;1567.5014285715;0;0;0;0;0;0;0;0;0;0;0;0;0;1737.3119230769;0;0;1500;10318.0671428551;1499.2321428571;0;0;2711.9263988096;2399.2308538588;0;2682.627325467
MT-ARAGUAINHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1608.64;0;0;0;4238.950000003;0;0;0;2463.354895105;1909.5641176472;0;2316.7292424243
MT-ARAPUTANGA;0;1184.5959999998;1449.4225;2404.0300000001;0;0;1548.2864285713;1274.6800000001;1349.652;0;0;0;3173.0374340176;8319.3992857137;691.1038235294;1981.9913296398;3738.3279999993;28710.2264429507;1801.5111340207;3022.9102040813;1462.7070542635;1622.9131764707;2300.2806363634;4305.6109473683;2600.1314391144;0;3863.434126984
MT-ARENAPOLIS;1818;0;1796.0975000002;1538.5800000001;0;0;1557.0257142859;795.7566666665;0;1450.8199999998;0;0;1239.5633333332;2369.5233333331;1544.245185185;1823.8441865079;1453.73375;12587.6563888893;2180.0718666666;2024.0727777778;1523.2040909091;1991.2254308095;1679125;4040.9754458599;1789.9823391813;0;2491.8940128881
MT-ARIPUANA;2703.5353571431;2058.6890476191;1718.6941509433;2000;0;1457.248;2680.0747922848;1372.7420000002;0;0;0;0;1755.5056000001;4337.1848407639;5173.583460838;2340.9300496523;5309.1058333331;6381.8262264148;5461.9411219513;3258.2674336285;2134.8592233009;2588.9427027022;2841.2253225803;4349.2259176365;2903.3792709984;0;3895.1274611318
MT-BARAO DE MELGACO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5376.6711111114;1548.9342857139;0;43234.8749999851;1964.7750000013;5008.1599999964;2462.7457391305;11082.6382352973;0;3669.5080099504;2034.4468825912;0;3181.6306250001
MT-BARRA DO BUGRES;3570.2437804877;1341.7778787879;1692.0322222221;2183.5766666663;1525.9000000004;0;1669.9836666668;606;0;3610.3320668058;1066.9233333335;0;2406.977712766;6032.3011111116;2195.788283582;1968.5595909091;3716.7637272731;13323.1094736842;1711.7279552716;2137.3860447762;1529.6406909091;1206.1955714286;2421.5683333335;4314.0179999999;2781.7086252901;0;2839.250653144
MT-BARRA DO GARCAS;2208.3089999998;2525.9365734265;2045.7489473685;1441.6413333334;0;2095.3675000002;1003.7705;1642.0083050847;3207.5570149251;2409.6008333333;1307.293;0;3106.8165086983;3026.2019696967;2804.5790633609;2178.9609850893;2914.1610076671;12012.2444688646;2041.5812900357;2699.7433601934;1517.1748134668;2915.4506888009;3009.2726916803;4287.508633313;2959.4085442074;0;2865.0582550728
MT-BOM JESUS DO ARAGUAIA;0;963.0355555556;0;0;0;0;1212;0;0;0;0;0;1550.7431249999;0;888.7999999998;1393.1754929577;3025.7855999996;8466.6689473678;1207.7533333333;3157.9705769226;774.2045454545;1394.7524999999;0;3529.6914465409;4041.3567594434;0;3523.1431793961
MT-BRASNORTE;2008.5899999992;2149.767804878;2286.2889999999;0;0;1743.9481818182;2891.7579126214;1427.5952380952;0;0;1249.5249999994;0;3254.5086956526;5333.360833333;3485.4609090901;2022.7923880597;5413.8072483216;6906.8072727279;2617.5286666665;2192.6854205608;1471.1175308641;1457.3519999999;1680.956511628;4941.6444918032;3258.4035611039;0;3235.5113735138
MT-CACERES;2717.4025438596;1521.2133082707;1595.6057575758;1310.5616666665;4111.5824999991;2033.7106060607;2757.8055212355;1500.1715625;2251.025128205;2052.8200000003;1236.008888889;1252.6149999993;1815.9371844661;4359.3496226413;2575.8317857143;2100.862437037;3142.5949905123;15137.5836563859;2300.0703033473;2365.1608295965;1611.2798291572;1682.6273175966;9827.1436278509;5073.1313747228;3878.8285902719;1456.25;4153.1062996811
MT-CAMPINAPOLIS;0;0;1227.7100000009;0;0;0;1247.0344444443;0;0;0;0;0;2723.8725000001;7535.3428571416;1544.6200000004;1928.6212105264;2591.6720000004;17904.8736363678;1483.0507499998;2252.3474999992;1295.9584615384;737.2999999998;0;5629.1816635161;2584.88875;13031.6816666697;3869.8248595507
MT-CAMPO NOVO DO PARECIS;1944.608;2214.5936923077;1998.9655882353;2062.0662331839;1995.5399999991;2362.6968421053;1727.8800000002;1320.1325000003;1909.6966666666;5541.0044795321;3720.8522500001;0;4355.8934988963;3168.3387769784;1657.1033053222;2320.8611606578;4670.3777894737;14220.096752135;2465.1366348449;2421.6003678475;1822.6796734234;2068.2089802632;2318.2036206899;6062.976730419;3831.663828534;13338.7600000054;3537.5202420687
MT-CAMPO VERDE;0;2032.7873043478;2413.1972151901;2362.3774358977;1905.5600000005;3184.1516000001;2594.3638297875;1381125;2420.0181818185;3654.657295082;3293.4915109345;0;2092.5761504425;1951.1865625002;2373.6024513619;2526.2419154031;3835.663709091;26762.6975103826;2329.5016741072;2885.2186792453;1635.4849855908;1640.8730246914;1694.3741361257;4772.0036343284;3616.3831278704;2129.1700000009;3583.899434262
MT-CAMPOS DE JULIO;0;0;2269.4647619048;1484.4499999993;0;0;1180.5800000001;1938.3825000003;0;4872.540837989;4939.3475000006;0;2414.422278481;13948.8811764684;2572.8529999998;2020.9304859335;4202.7114999999;24125.393999996;5665.3616666672;4008.2408280256;1964.1789473685;1699.0387499996;1331.7599999998;4457.9523608446;3636.5415735816;46847.1100000143;3929.4658152994
MT-CANABRAVA DO NORTE;0;0;0;0;0;0;0;0;0;0;0;0;2431.8766666666;0;2981.206666667;1737.6053191487;0;0;1007.7566666665;9429.1933333327;1294.9460000001;0;0;2942.5047435897;3043.5477419355;0;2857.6493957703
MT-CANARANA;3059.2938461537;2117.5552112675;1755.1548387095;2538.49;0;30229.9324999969;1527.9756249997;1799.9927272729;1463.2481818181;1334.6200000001;0;0;3029.2563541666;2667.733076923;2066.6935365855;2129.2570837538;5274.613031989;28828.6615625033;2470.7213263158;3033.6498133334;644.9724618992;1910.5057352941;2190.102063492;4542.0691364902;3030.6756561302;0;3826.920615211
MT-CARLINDA;0;2225.4328000002;861.382;0;0;0;2198.439411765;0;0;0;0;0;1639.7955555558;2386.5633333332;11034.5633333375;2006.9843880597;2831.1380555551;8417.7440909085;1664.3003773586;1904.5688;1530.4015384615;2648.2266666678;1160.4800000005;3510.7614754099;3148.5672488039;0;2811.826046875
