Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
RS-ALEGRIA;0;17;77;18;50;22;156;7;67;9;0;423
RS-ALMIRANTE TAMANDARE DO SUL;0;13;18;45;104;58;310;27;126;0;0;701
RS-ALPESTRE;1;14;16;52;62;54;399;32;231;1;0;862
RS-ALTO ALEGRE;1;1;2;11;20;21;149;9;100;0;0;314
RS-ALTO FELIZ;1;8;25;105;157;95;268;47;110;1;0;817
RS-ALVORADA;18;314;215;1045;1669;1777;10433;719;3207;32;11;19440
RS-AMARAL FERRADOR;0;43;38;26;43;26;189;18;119;0;0;502
RS-AMETISTA DO SUL;1;19;14;39;60;96;914;40;233;2;0;1418
RS-ANDRE DA ROCHA;0;15;19;39;46;27;104;13;44;18;1;326
RS-ANTA GORDA;2;28;24;82;132;160;642;89;246;1;0;1406
RS-ANTONIO PRADO;5;77;84;406;359;445;1823;296;572;7;9;4083
RS-ARAMBARE;6;50;48;85;87;55;271;36;89;0;45;772
RS-ARARICA;1;49;115;228;371;284;1006;79;199;0;0;2332
RS-ARATIBA;6;65;56;126;91;83;625;63;283;1;0;1399
RS-ARROIO DO MEIO;15;304;286;1009;878;1003;3096;552;946;11;0;8100
RS-ARROIO DO SAL;6;35;38;157;281;181;1090;68;431;0;0;2287
RS-ARROIO DO PADRE;0;11;14;14;25;16;125;11;110;6;5;337
RS-ARROIO DOS RATOS;8;27;48;102;190;102;1108;107;375;4;3;2074
RS-ARROIO DO TIGRE;2;103;42;148;192;174;974;62;345;3;0;2045
RS-ARROIO GRANDE;10;126;108;280;275;236;1353;62;373;160;2;2985
RS-ARVOREZINHA;2;91;48;164;106;213;863;88;274;2;0;1851
RS-AUGUSTO PESTANA;5;40;25;106;116;130;622;94;249;8;0;1395
RS-AUREA;1;20;19;29;41;25;194;23;115;0;0;467
RS-BAGE;58;374;328;1131;1572;1366;11204;974;4440;543;511;22501
RS-BALNEARIO PINHAL;2;45;21;49;134;123;1033;38;339;0;2;1786
RS-BARAO;1;48;59;167;239;235;896;127;141;0;0;1913
RS-BARAO DE COTEGIPE;5;63;48;130;130;163;611;69;279;3;0;1501
RS-BARAO DO TRIUNFO;0;13;21;26;30;17;170;23;115;0;0;415
RS-BARRACAO;0;9;15;51;67;47;314;16;147;11;0;677
RS-BARRA DO GUARITA;0;5;12;18;28;8;113;17;72;0;0;273
RS-BARRA DO QUARAI;6;72;39;110;107;126;489;34;199;1;0;1183
RS-BARRA DO RIBEIRO;15;127;130;307;357;334;1052;122;228;4;62;2738
RS-BARRA DO RIO AZUL;0;7;9;16;19;10;109;13;53;0;0;236
RS-BARRA FUNDA;9;27;24;54;52;75;329;27;139;0;0;736
RS-BARROS CASSAL;2;15;13;36;53;91;616;39;107;0;0;972
RS-BENJAMIN CONSTANT DO SUL;0;11;8;19;15;10;103;14;52;7;0;239
RS-BENTO GONCALVES;94;648;610;3354;3993;4342;19244;4310;8625;1059;889;47168
RS-BOA VISTA DAS MISSOES;0;13;24;30;31;25;176;16;105;4;0;424
RS-BOA VISTA DO BURICA;2;26;35;71;104;138;1131;79;281;2;0;1869
RS-BOA VISTA DO CADEADO;0;16;11;44;39;39;235;22;104;1;0;511
RS-BOA VISTA DO INCRA;0;11;18;34;47;21;249;10;130;0;1;521
RS-BOA VISTA DO SUL;1;20;23;123;82;86;247;28;80;0;0;690
RS-BOM JESUS;15;85;99;491;387;161;1291;64;298;1;1;2893
RS-BOM PRINCIPIO;6;128;191;570;589;604;2425;308;482;1;1;5305
RS-BOM PROGRESSO;0;12;15;26;46;15;170;11;66;1;0;362
RS-BOM RETIRO DO SUL;8;148;155;361;366;589;1381;198;351;1;0;3558
RS-BOQUEIRAO DO LEAO;0;14;21;39;52;53;244;35;119;1;0;578
RS-BOSSOROCA;2;62;23;57;88;65;555;40;223;0;0;1115
RS-BOZANO;0;1;3;15;27;11;92;18;84;0;0;251
RS-BRAGA;0;10;10;26;38;19;184;14;97;0;0;398
RS-BROCHIER;4;18;30;68;136;91;335;25;108;5;0;820
RS-BUTIA;16;159;85;365;419;233;1928;118;472;1;0;3796
RS-CACAPAVA DO SUL;19;287;202;642;500;488;2516;785;1098;10;2;6549
RS-CACEQUI;13;69;48;139;179;96;893;46;364;2;0;1849
RS-CACHOEIRA DO SUL;57;265;344;1070;1372;1228;8504;938;2595;46;10;16429
RS-CACHOEIRINHA;79;369;343;1431;4634;3042;23871;2485;4901;107;57;41319
RS-CACIQUE DOBLE;0;5;13;17;26;18;237;11;114;4;0;445
RS-CAIBATE;1;46;18;85;76;77;456;37;230;2;0;1028
RS-CAICARA;0;7;4;33;42;28;185;28;151;5;1;484
RS-CAMAQUA;60;442;324;912;1484;1030;5693;639;1986;15;4;12589
RS-CAMARGO;1;21;12;61;63;78;252;38;140;10;0;676
RS-CAMBARA DO SUL;13;98;42;135;193;154;835;59;230;1;0;1760
RS-CAMPESTRE DA SERRA;2;19;30;62;56;38;175;18;91;10;1;502
RS-CAMPINA DAS MISSOES;0;14;23;64;54;57;390;27;199;1;1;830
RS-CAMPINAS DO SUL;0;43;42;73;116;67;421;35;197;0;2;996
RS-CAMPO BOM;39;491;659;1928;2451;2392;15234;2835;4057;94;16;30196
RS-CAMPO NOVO;2;34;52;64;54;118;612;62;229;3;0;1230
RS-CAMPOS BORGES;0;11;16;28;47;47;288;16;122;0;0;575
RS-CANDELARIA;14;198;178;915;580;664;2625;282;684;17;8;6165
RS-CANDIDO GODOI;0;19;21;72;89;101;692;104;269;1;1;1369
RS-CANDIOTA;6;49;30;156;229;125;1746;97;382;5;3;2828
RS-CANELA;21;145;134;662;1070;963;6178;666;1323;14;2;11178
RS-CANGUCU;6;141;145;280;593;271;2508;257;1110;42;1;5354
RS-CANOAS;96;817;1040;4362;8622;5967;50866;5484;14319;527;169;92269
RS-CANUDOS DO VALE;0;3;14;9;20;19;77;11;30;0;0;183
RS-CAPAO BONITO DO SUL;1;7;9;22;31;18;161;13;82;2;0;346
RS-CAPAO DA CANOA;33;263;217;829;1198;1340;7918;650;2280;14;4;14746
RS-CAPAO DO CIPO;1;21;11;46;64;43;253;15;135;0;0;589
RS-CAPAO DO LEAO;29;168;119;472;582;251;2075;126;636;15;3;4476
RS-CAPIVARI DO SUL;6;39;51;93;145;106;628;54;195;10;0;1327
RS-CAPELA DE SANTANA;4;39;62;220;215;168;646;70;243;0;0;1667
RS-CAPITAO;3;24;24;43;53;53;217;24;109;0;0;550
RS-CARAZINHO;39;266;242;1108;1183;1645;6986;1241;2702;67;5;15484
RS-CARAA;4;41;40;163;146;150;460;25;128;2;0;1159
RS-CARLOS BARBOSA;18;305;259;1148;1215;1236;5464;1860;2293;21;1;13820
RS-CARLOS GOMES;0;4;2;9;35;4;71;6;45;1;0;177
RS-CASCA;8;82;100;307;315;311;1316;199;501;2;1;3142
RS-CASEIROS;1;16;14;35;20;59;277;18;116;0;0;556
RS-CATUIPE;0;70;38;91;125;105;583;82;261;0;10;1365
RS-CAXIAS DO SUL;329;1943;1902;8685;18542;15426;75042;16050;27655;1202;531;167307
RS-CENTENARIO;1;3;18;20;27;16;110;16;50;3;0;264
RS-CERRITO;3;13;14;46;30;25;226;30;151;3;2;543
RS-CERRO BRANCO;0;12;11;24;33;18;191;17;121;0;0;427
RS-CERRO GRANDE;0;9;22;14;24;17;96;11;86;0;1;280
RS-CERRO GRANDE DO SUL;2;40;27;76;103;131;433;55;219;0;0;1086
RS-CERRO LARGO;3;55;83;273;273;314;1479;287;614;27;73;3481
RS-CHAPADA;2;56;57;285;258;257;976;117;380;1;0;2389
RS-CHARQUEADAS;7;68;52;372;684;348;4156;425;1191;28;2;7333
RS-CHARRUA;1;13;7;18;18;25;101;8;80;0;0;271
RS-CHIAPETTA;1;66;41;43;63;60;497;49;166;0;1;987
RS-CHUI;6;28;59;55;285;292;1092;74;275;1;1;2168
RS-CHUVISCA;1;5;6;9;37;25;182;11;141;0;0;417
RS-CIDREIRA;0;32;36;76;156;105;1222;72;544;0;0;2243
RS-CIRIACO;0;16;9;28;24;110;341;25;101;1;0;655
RS-COLINAS;0;15;17;25;52;36;184;30;67;0;0;426
RS-COLORADO;0;20;36;46;51;32;214;21;162;0;0;582
RS-CONDOR;19;73;72;296;151;263;813;137;372;0;3;2199
RS-CONSTANTINA;4;93;32;81;109;213;974;109;251;0;0;1866
RS-COQUEIRO BAIXO;0;8;3;5;12;3;52;14;37;0;0;134
RS-COQUEIROS DO SUL;0;9;8;27;32;22;163;26;83;0;0;370
RS-CORONEL BARROS;0;5;9;48;47;32;211;26;112;2;0;492
RS-CORONEL BICACO;2;29;22;30;67;79;610;38;208;0;0;1085
RS-CORONEL PILAR;0;8;7;10;10;6;58;7;58;0;0;164
RS-COTIPORA;0;16;11;88;62;64;377;37;123;1;0;779
RS-COXILHA;5;31;29;73;92;88;439;50;186;6;7;1006
RS-CRISSIUMAL;2;42;57;185;230;296;1327;94;402;1;0;2636
RS-CRISTAL;4;57;40;108;139;90;517;36;134;0;0;1125
RS-CRISTAL DO SUL;0;12;4;8;27;6;94;8;98;0;0;257
RS-CRUZ ALTA;34;184;177;680;925;995;7524;824;2660;141;78;14222
RS-CRUZALTENSE;0;9;5;18;19;9;81;9;66;0;0;216
RS-CRUZEIRO DO SUL;12;81;101;389;411;399;1178;152;380;2;0;3105
RS-DAVID CANABARRO;0;10;3;19;24;70;350;37;155;1;0;669
RS-DERRUBADAS;0;6;8;19;25;13;180;32;79;1;0;363
RS-DEZESSEIS DE NOVEMBRO;0;2;8;12;18;4;87;8;47;0;0;186
RS-DILERMANDO DE AGUIAR;3;20;14;38;76;35;184;13;104;3;0;490
RS-DOIS IRMAOS;80;604;515;1395;1166;1385;5053;910;1520;17;4;12649
RS-DOIS IRMAOS DAS MISSOES;0;27;6;30;42;38;179;19;76;0;0;417
RS-DOIS LAJEADOS;2;33;15;36;50;94;290;54;110;0;0;684
RS-DOM FELICIANO;2;55;27;51;124;71;481;51;293;1;1;1157
RS-DOM PEDRO DE ALCANTARA;0;13;4;45;54;37;219;14;57;0;0;443
RS-DOM PEDRITO;46;284;183;839;584;423;3954;224;997;9;0;7543
RS-DONA FRANCISCA;1;5;10;36;35;27;135;16;97;1;0;363
RS-DOUTOR MAURICIO CARDOSO;0;16;18;50;35;47;220;31;149;2;0;568
RS-DOUTOR RICARDO;7;4;8;30;29;34;153;15;60;0;0;340
RS-ELDORADO DO SUL;36;200;274;990;2134;1250;8829;1677;3609;191;28;19218
RS-ENCANTADO;11;162;212;1096;790;1087;3235;542;1043;8;0;8186
RS-ENCRUZILHADA DO SUL;18;217;162;430;461;331;1469;117;176;1;0;3382
RS-ENGENHO VELHO;0;4;5;16;18;15;53;9;67;0;0;187
RS-ENTRE-IJUIS;0;36;23;125;79;135;807;60;155;0;0;1420
RS-ENTRE RIOS DO SUL;0;19;22;18;28;10;159;2;95;0;0;353
RS-EREBANGO;1;16;11;33;36;39;141;15;81;0;0;373
RS-ERECHIM;466;823;606;2697;3284;3590;17292;2893;7715;373;126;39865
RS-ERNESTINA;0;8;8;19;32;30;354;31;114;0;0;596
RS-HERVAL;3;20;23;52;75;31;469;21;163;3;1;861
RS-ERVAL GRANDE;1;30;48;80;56;69;280;41;91;6;0;702
RS-ERVAL SECO;14;13;22;34;43;43;466;62;164;1;1;863
RS-ESMERALDA;0;10;8;56;91;38;284;19;103;0;0;609
RS-ESPERANCA DO SUL;0;4;8;10;20;13;213;16;114;0;0;398
RS-ESPUMOSO;5;103;77;265;286;335;1678;181;590;2;1;3523
RS-ESTACAO;4;45;48;122;123;159;610;95;388;14;1;1609
RS-ESTANCIA VELHA;11;325;474;1336;1638;1450;6265;874;1367;2;2;13744
RS-ESTEIO;26;184;201;1010;1850;1624;11428;1147;3283;54;10;20817
RS-ESTRELA;17;292;306;1094;1230;1386;5435;779;1467;45;6;12057
RS-ESTRELA VELHA;1;8;10;21;68;14;228;13;116;2;0;481
RS-EUGENIO DE CASTRO;0;7;19;45;46;36;168;19;66;0;0;406
RS-FAGUNDES VARELA;0;15;13;50;68;66;226;26;104;2;1;571
RS-FARROUPILHA;118;531;462;2276;2857;2833;10921;2775;4687;55;8;27523
RS-FAXINAL DO SOTURNO;2;32;27;153;119;106;666;73;382;7;2;1569
RS-FAXINALZINHO;1;8;5;21;55;18;103;12;54;20;1;298
RS-FAZENDA VILANOVA;0;43;21;142;73;114;292;34;130;1;0;850
RS-FELIZ;7;121;140;492;455;389;1549;301;532;6;1;3993
RS-FLORES DA CUNHA;18;360;401;1155;1312;1598;5152;1069;1816;8;0;12889
RS-FLORIANO PEIXOTO;0;15;16;15;24;9;70;4;58;0;0;211
RS-FONTOURA XAVIER;0;44;34;70;128;97;632;68;253;1;0;1327
RS-FORMIGUEIRO;3;35;38;63;70;55;365;20;158;1;0;808
RS-FORQUETINHA;0;14;12;46;60;39;76;23;72;0;0;342
RS-FORTALEZA DOS VALOS;3;31;35;76;82;58;427;31;156;4;0;903
RS-FREDERICO WESTPHALEN;23;169;139;536;751;777;4277;804;1985;93;57;9611
RS-GARIBALDI;32;430;450;1512;2096;2060;6281;1321;1941;54;11;16188
RS-GARRUCHOS;1;13;15;59;32;20;149;8;96;0;0;393
RS-GAURAMA;2;17;21;61;95;89;570;42;174;3;0;1074
RS-GENERAL CAMARA;2;21;12;53;84;48;300;49;155;0;0;724
RS-GENTIL;0;12;2;21;21;20;101;10;22;0;0;209
RS-GETULIO VARGAS;4;85;86;234;299;389;2149;259;709;71;13;4298
RS-GIRUA;2;46;40;235;237;248;1769;104;564;3;0;3248
RS-GLORINHA;8;35;38;120;228;180;1281;88;298;2;6;2284
RS-GRAMADO;49;299;447;1311;1889;2131;12244;1405;2764;77;15;22631
RS-GRAMADO DOS LOUREIROS;0;4;10;7;20;16;94;8;70;8;0;237
RS-GRAMADO XAVIER;0;4;17;10;29;17;86;19;85;2;0;269
RS-GRAVATAI;92;710;811;2185;4170;3903;34325;3232;8764;149;35;58376
RS-GUABIJU;1;10;9;12;41;11;110;10;61;0;0;265
RS-GUAIBA;42;214;436;741;2147;1135;11057;859;3005;111;21;19768
RS-GUAPORE;8;231;215;644;754;1137;4161;557;1240;10;1;8958
RS-GUARANI DAS MISSOES;2;32;55;71;86;75;527;65;249;2;0;1164
RS-HARMONIA;2;49;67;244;206;210;594;74;142;0;0;1588
RS-HERVEIRAS;0;1;10;12;21;7;82;8;44;41;1;227
RS-HORIZONTINA;4;68;67;172;331;456;3612;522;1379;58;41;6710
RS-HULHA NEGRA;8;131;129;212;302;306;999;15;201;0;0;2303
RS-HUMAITA;2;14;28;26;35;52;458;39;211;2;0;867
RS-IBARAMA;0;8;9;24;39;6;111;5;99;2;0;303
RS-IBIACA;3;34;22;50;60;81;367;26;145;24;3;815
RS-IBIRAIARAS;3;25;12;47;46;69;619;47;287;2;0;1157
RS-IBIRAPUITA;2;13;3;23;27;38;249;23;138;0;0;516
RS-IBIRUBA;16;387;150;594;669;752;3376;474;1412;17;6;7853
RS-IGREJINHA;29;418;397;1708;1485;1441;5553;1085;1470;21;4;13611
RS-IJUI;18;274;254;1195;1791;1944;13380;1621;4521;334;149;25481
RS-ILOPOLIS;0;37;35;68;59;74;288;35;143;0;0;739
RS-IMBE;1;64;87;187;360;331;2614;93;593;20;251;4601
RS-IMIGRANTE;0;27;43;108;134;135;628;57;162;0;1;1295
RS-INDEPENDENCIA;3;31;21;113;102;149;533;46;204;10;0;1212
RS-INHACORA;1;48;2;10;24;14;90;19;84;1;0;293
RS-IPE;3;36;67;103;158;131;521;104;93;1;0;1217
RS-IPIRANGA DO SUL;1;14;13;23;13;11;108;9;77;4;0;273
RS-IRAI;2;14;27;38;78;82;397;56;165;0;0;859
RS-ITAARA;1;18;20;78;86;76;620;200;313;4;3;1419
RS-ITACURUBI;1;13;10;50;32;29;209;18;103;0;0;465
RS-ITAPUCA;0;14;7;9;21;2;76;7;68;0;0;204
RS-ITAQUI;37;353;248;626;744;701;4072;261;987;2;2;8033
RS-ITATI;0;8;6;14;35;28;148;16;51;0;0;306
RS-ITATIBA DO SUL;1;25;6;17;41;17;301;29;120;117;3;677
RS-IVORA;0;12;6;5;14;2;83;6;58;1;0;187
RS-IVOTI;31;183;238;875;1067;849;3606;619;1126;38;13;8645
RS-JABOTICABA;0;20;8;10;30;30;188;20;116;2;0;424
RS-JACUIZINHO;1;10;15;19;37;21;138;12;84;2;0;339
RS-JACUTINGA;0;30;14;57;51;47;258;18;187;1;1;664
RS-JAGUARAO;4;232;122;369;361;278;2217;168;793;20;8;4572
RS-JAGUARI;1;12;24;49;74;83;935;53;287;3;1;1522
RS-JAQUIRANA;9;67;26;120;68;71;256;10;55;19;0;701
RS-JARI;0;30;21;50;60;32;192;17;122;0;0;524
RS-JOIA;4;43;23;99;74;72;416;40;171;4;0;946
RS-JULIO DE CASTILHOS;13;77;69;282;342;278;1723;213;442;206;2;3647
RS-LAGOA BONITA DO SUL;0;12;3;7;28;5;92;2;66;0;0;215
RS-LAGOAO;0;7;7;19;42;18;208;17;82;3;0;403
RS-LAGOA DOS TRES CANTOS;0;19;8;28;17;15;149;8;83;0;0;327
RS-LAGOA VERMELHA;13;95;86;327;338;448;3824;262;910;6;0;6309
RS-LAJEADO;69;1267;952;3568;3602;4443;16131;3450;6650;277;188;40597
RS-LAJEADO DO BUGRE;0;11;7;19;33;17;119;17;66;0;0;289
RS-LAVRAS DO SUL;17;90;65;178;130;87;651;63;243;0;0;1524
RS-LIBERATO SALZANO;0;19;13;44;29;40;202;36;160;1;0;544
RS-LINDOLFO COLLOR;1;70;120;411;339;234;720;82;212;0;18;2207
RS-LINHA NOVA;0;6;15;28;32;30;73;11;57;0;0;252
RS-MACHADINHO;1;13;15;42;49;78;541;31;57;82;0;909
RS-MACAMBARA;3;25;35;50;61;62;345;25;168;1;0;775
RS-MAMPITUBA;0;5;15;13;32;10;88;4;56;0;0;223
RS-MANOEL VIANA;3;26;22;67;78;70;475;31;203;0;0;975
RS-MAQUINE;8;40;46;103;126;85;509;31;166;0;0;1114
RS-MARATA;1;44;18;44;44;57;180;19;74;0;0;481
RS-MARAU;19;299;415;1508;1982;1794;6980;1005;2734;53;10;16799
RS-MARCELINO RAMOS;0;20;14;22;45;22;421;26;132;0;0;702
RS-MARIANA PIMENTEL;3;4;1;36;43;15;162;13;109;0;1;387
RS-MARIANO MORO;0;17;14;43;22;12;145;5;63;0;0;321
RS-MARQUES DE SOUZA;2;10;21;45;86;71;266;35;122;5;1;664
RS-MATA;44;15;17;29;37;33;255;22;127;15;0;594
RS-MATO CASTELHANO;2;5;11;22;32;16;214;15;124;2;2;445
RS-MATO LEITAO;2;33;63;165;196;182;514;68;147;7;2;1379
RS-MATO QUEIMADO;0;3;3;13;16;10;79;6;71;0;0;201
RS-MAXIMILIANO DE ALMEIDA;4;18;22;30;38;42;296;24;119;0;0;593
RS-MINAS DO LEAO;9;50;43;136;100;54;903;56;127;1;0;1479
RS-MIRAGUAI;6;33;36;149;240;230;819;49;144;0;0;1706
RS-MONTAURI;0;6;8;15;26;34;148;21;54;1;0;313
RS-MONTE ALEGRE DOS CAMPOS;2;15;13;39;57;18;146;6;122;0;0;418
RS-MONTE BELO DO SUL;0;11;5;14;31;19;163;29;96;0;0;368
RS-MONTENEGRO;66;463;416;1866;2349;1963;10007;1410;3347;37;9;21933
RS-MORMACO;0;8;6;19;32;12;207;10;111;0;0;405
RS-MORRINHOS DO SUL;0;8;5;21;25;33;156;12;62;0;0;322
RS-MORRO REDONDO;9;59;88;103;192;64;490;30;176;6;1;1218
RS-MORRO REUTER;7;47;63;311;228;275;709;79;149;0;0;1868
RS-MOSTARDAS;23;162;266;331;274;158;1549;35;265;2;0;3065
RS-MUCUM;8;99;130;298;243;209;866;169;215;1;0;2238
RS-MUITOS CAPOES;4;37;38;63;107;97;411;21;159;0;0;937
RS-MULITERNO;0;3;6;17;25;43;101;9;52;2;0;258
RS-NAO-ME-TOQUE;224;239;190;847;736;1127;3813;791;1739;22;5;9733
RS-NICOLAU VERGUEIRO;0;5;8;24;21;21;147;15;55;1;0;297
RS-NONOAI;1;32;43;90;123;170;1211;115;368;15;3;2171
RS-NOVA ALVORADA;6;43;24;116;71;205;377;66;323;6;1;1238
RS-NOVA ARACA;9;72;72;303;225;341;1064;66;276;0;0;2428
RS-NOVA BASSANO;7;171;112;394;339;415;1800;218;554;3;1;4014
RS-NOVA BOA VISTA;0;22;14;39;49;63;301;37;129;1;0;655
RS-NOVA BRESCIA;0;11;12;21;43;36;330;28;95;0;0;576
RS-NOVA CANDELARIA;0;11;21;57;64;101;486;45;161;1;1;948
RS-NOVA ESPERANCA DO SUL;4;58;71;199;163;165;739;47;213;10;0;1669
RS-NOVA HARTZ;33;216;391;1703;780;1847;2085;354;506;1;0;7916
RS-NOVA PADUA;0;19;11;41;30;44;145;29;79;0;0;398
RS-NOVA PALMA;0;19;21;88;72;66;463;36;237;2;0;1004
RS-NOVA PETROPOLIS;20;148;177;582;674;855;2932;637;1067;16;1;7109
RS-NOVA PRATA;7;203;235;724;637;868;3847;633;1466;11;6;8637
RS-NOVA RAMADA;1;7;3;23;16;20;148;16;96;0;0;330
RS-NOVA ROMA DO SUL;1;41;9;37;50;38;315;37;98;9;0;635
RS-NOVA SANTA RITA;17;102;88;663;977;819;5617;668;1446;19;14;10430
RS-NOVO CABRAIS;1;20;15;29;36;27;201;19;117;0;0;465
RS-NOVO HAMBURGO;76;1331;1812;5442;7809;6355;34174;5693;9970;536;317;73515
RS-NOVO MACHADO;0;3;9;22;27;22;154;12;86;0;5;340
RS-NOVO TIRADENTES;0;8;1;16;14;19;96;14;88;0;0;256
RS-NOVO XINGU;0;3;7;20;22;15;94;6;78;0;0;245
RS-NOVO BARREIRO;1;7;11;24;44;42;237;22;106;0;0;494
RS-OSORIO;20;381;177;958;1424;1204;6623;628;1727;64;29;13235
RS-PAIM FILHO;0;6;17;19;23;39;306;24;121;2;0;557
RS-PALMARES DO SUL;8;49;82;135;157;127;944;52;107;0;0;1661
RS-PALMEIRA DAS MISSOES;11;91;89;267;590;412;3568;302;1041;5;2;6378
RS-PALMITINHO;9;42;18;42;65;105;635;101;281;3;1;1302
RS-PANAMBI;17;245;198;938;1102;1742;6604;1681;2813;64;19;15424
RS-PANTANO GRANDE;20;161;109;284;446;254;1445;108;292;0;0;3119
RS-PARAI;2;93;128;321;258;415;1311;197;288;67;40;3120
RS-PARAISO DO SUL;3;17;16;61;82;52;319;31;157;0;0;738
RS-PARECI NOVO;3;38;19;80;124;85;404;44;104;0;0;901
RS-PAROBE;24;508;431;1772;1542;1766;6259;929;1485;25;4;14745
RS-PASSA SETE;0;6;6;7;24;9;90;11;74;3;0;230
RS-PASSO DO SOBRADO;2;42;33;91;131;83;502;52;158;3;2;1099
RS-PASSO FUNDO;150;919;841;3402;4978;5102;34794;5401;13204;719;539;70049
RS-PAULO BENTO;0;22;20;46;103;53;266;22;95;2;0;629
RS-PAVERAMA;2;56;53;193;147;200;654;32;158;0;0;1495
RS-PEDRAS ALTAS;3;21;9;40;54;27;161;5;106;22;2;450
RS-PEDRO OSORIO;5;45;34;290;112;154;458;84;130;1;1;1314
RS-PEJUCARA;1;31;29;64;87;67;290;38;177;1;0;785
RS-PELOTAS;117;1299;1005;4197;5719;4606;37029;3758;16102;1496;1252;76580
RS-PICADA CAFE;1;53;201;516;370;470;844;205;240;5;2;2907
RS-PINHAL;10;23;32;53;83;91;432;52;163;0;0;939
RS-PINHAL DA SERRA;3;7;12;25;35;20;160;24;96;1;0;383
RS-PINHAL GRANDE;0;21;11;15;37;23;202;12;169;0;0;490
RS-PINHEIRINHO DO VALE;1;18;8;37;51;46;220;27;164;1;2;575
RS-PINHEIRO MACHADO;11;54;42;95;77;52;686;40;261;2;0;1320
RS - PINTO BANDEIRA;0;9;6;26;64;21;144;35;85;1;0;391
RS-PIRAPO;2;3;6;7;31;9;146;4;78;1;0;287
RS-PIRATINI;17;184;153;408;383;241;1204;79;538;5;0;3212
RS-PLANALTO;0;38;25;81;106;143;863;60;269;0;0;1585
RS-POCO DAS ANTAS;14;41;19;184;128;146;496;39;95;0;1;1163
RS-PONTAO;3;14;15;56;62;46;304;24;88;51;0;663
RS-PONTE PRETA;0;17;4;7;13;14;97;10;60;0;0;222
RS-PORTAO;15;237;295;1060;1558;879;4598;498;1117;11;3;10271
RS-PORTO ALEGRE;902;5327;5093;22162;43065;32941;278232;44497;237801;10173;3881;684076
RS-PORTO LUCENA;1;6;11;31;47;34;253;24;112;0;0;519
RS-PORTO MAUA;0;1;10;17;23;19;122;8;71;0;0;271
RS-PORTO VERA CRUZ;0;2;2;17;25;4;66;10;43;1;0;170
RS-PORTO XAVIER;2;35;41;123;94;131;854;53;277;1;0;1611
RS-POUSO NOVO;1;19;19;42;58;30;114;12;61;0;0;356
RS-PRESIDENTE LUCENA;12;75;82;445;263;385;838;156;141;0;0;2397
RS-PROGRESSO;1;17;36;73;66;51;322;26;141;0;0;733
RS-PROTASIO ALVES;1;22;10;32;24;18;174;9;68;0;0;358
RS-PUTINGA;0;33;18;46;39;57;318;16;100;0;0;627
RS-QUARAI;16;85;90;260;320;258;2321;76;501;3;1;3931
RS-QUATRO IRMAOS;0;31;14;23;49;8;122;7;70;0;0;324
RS-QUEVEDOS;0;18;10;31;57;9;162;11;97;2;0;397
RS-QUINZE DE NOVEMBRO;1;18;14;68;65;61;377;38;180;8;1;831
RS-REDENTORA;0;17;28;28;28;58;310;32;153;1;0;655
RS-RELVADO;1;4;5;13;18;12;73;8;13;0;0;147
RS-RESTINGA SECA;8;38;54;271;240;175;1475;105;444;40;31;2881
RS-RIO DOS INDIOS;0;6;12;5;10;5;106;14;52;53;1;264
RS-RIO GRANDE;94;824;567;2317;4148;2669;22852;2751;8943;579;970;46714
RS-RIO PARDO;14;262;151;545;441;451;2745;242;749;6;0;5606
RS-RIOZINHO;4;48;197;426;125;161;315;29;118;0;0;1423
RS-ROCA SALES;15;151;176;531;379;498;1201;132;318;4;0;3405
RS-RODEIO BONITO;0;31;23;66;96;117;798;74;321;1;0;1527
RS-ROLADOR;2;7;6;17;39;17;147;5;63;8;1;312
RS-ROLANTE;27;400;470;1134;1051;1144;2230;424;595;6;0;7481
RS-RONDA ALTA;2;41;25;95;61;143;821;86;282;1;0;1557
RS-RONDINHA;0;31;8;22;31;36;238;44;187;1;0;598
RS-ROQUE GONZALES;0;16;9;55;44;56;416;32;211;2;0;841
RS-ROSARIO DO SUL;44;271;241;436;477;431;3390;158;936;8;0;6392
RS-SAGRADA FAMILIA;0;5;10;16;27;30;198;8;53;0;0;347
RS-SALDANHA MARINHO;1;6;18;42;50;45;168;17;120;2;0;469
RS-SALTO DO JACUI;2;54;61;100;144;130;843;51;376;1;1;1763
RS-SALVADOR DAS MISSOES;0;13;18;59;55;74;381;38;162;1;0;801
RS-SALVADOR DO SUL;6;61;73;314;221;255;998;139;342;2;0;2411
RS-SANANDUVA;2;40;100;193;227;325;2267;205;684;5;0;4048
RS-SANTA BARBARA DO SUL;6;75;78;194;160;175;717;103;427;2;4;1941
RS-SANTA CECILIA DO SUL;0;9;9;15;22;18;98;13;60;7;0;251
RS-SANTA CLARA DO SUL;17;81;98;393;338;369;718;93;222;3;0;2332
RS-SANTA CRUZ DO SUL;67;792;841;2556;3697;3498;20986;4037;8279;435;254;45442
RS-SANTA MARIA;112;785;652;3195;5059;4603;36372;4411;14938;2269;1852;74248
RS-SANTA MARIA DO HERVAL;1;37;99;410;282;278;560;59;150;0;0;1876
RS-SANTA MARGARIDA DO SUL;9;72;31;97;52;37;231;11;102;3;1;646
