Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
PA-BANNACH;17;75;94;82;46;36;173;5;82;0;0;610
PA-BARCARENA;36;273;255;544;1832;1155;23889;405;4370;39;20;32818
PA-BELEM;1000;2960;2630;11548;31356;16580;228840;13049;119031;4825;2079;433899
PA-BELTERRA;2;18;5;25;195;224;832;177;313;0;0;1791
PA-BENEVIDES;53;294;189;750;1203;896;7194;283;1276;16;10;12164
PA-BOM JESUS DO TOCANTINS;29;147;25;106;119;100;591;16;177;1;0;1311
PA-BONITO;50;171;172;323;303;261;880;14;159;0;0;2333
PA-BRAGANCA;86;114;63;195;418;424;3969;106;687;4;6;6072
PA-BRASIL NOVO;8;20;16;48;150;94;719;34;164;0;0;1253
PA-BREJO GRANDE DO ARAGUAIA;23;80;79;45;111;47;390;5;190;1;0;971
PA-BREU BRANCO;20;172;133;159;341;148;1968;48;814;0;1;3804
PA-BREVES;503;313;180;382;1264;281;2648;341;2912;8;1;8833
PA-BUJARU;3;32;27;31;142;36;645;13;343;0;0;1272
PA-CACHOEIRA DO PIRIA;11;7;4;6;122;144;262;124;310;2;0;992
PA-CACHOEIRA DO ARARI;11;22;12;15;418;73;205;2;129;0;0;887
PA-CAMETA;12;246;75;425;808;249;2976;83;3003;5;2;7884
PA-CANAA DOS CARAJAS;48;361;388;950;2491;806;15117;327;3250;24;2;23764
PA-CAPANEMA;15;161;85;361;944;575;6294;215;1339;6;1;9996
PA-CAPITAO POCO;35;172;86;213;317;167;1861;56;446;0;0;3353
PA-CASTANHAL;87;788;494;1371;6620;2770;20702;883;3364;76;15;37170
PA-CHAVES;7;71;44;62;243;77;300;12;342;1;0;1159
PA-COLARES;0;3;0;64;8;9;261;26;211;1;0;583
PA-CONCEICAO DO ARAGUAIA;40;225;110;260;379;395;2674;224;2192;4;0;6503
PA-CONCORDIA DO PARA;32;363;85;293;190;260;1119;24;68;0;0;2434
PA-CUMARU DO NORTE;55;252;207;278;195;155;662;21;259;0;0;2084
PA-CURIONOPOLIS;41;258;132;332;413;217;2440;62;763;4;0;4662
PA-CURRALINHO;0;0;0;1;327;5;344;7;537;0;0;1221
PA-CURUA;0;2;9;12;128;57;616;41;246;0;0;1111
PA-CURUCA;18;24;9;33;204;36;1346;14;365;0;0;2049
PA-DOM ELISEU;44;402;162;602;720;602;2109;105;682;2;0;5430
PA-ELDORADO DO CARAJAS;18;68;53;114;202;97;1157;26;571;0;30;2336
PA-FARO;0;22;33;32;85;27;246;7;165;1;0;618
PA-FLORESTA DO ARAGUAIA;6;62;40;143;144;76;853;24;436;0;0;1784
PA-GARRAFAO DO NORTE;35;142;67;254;312;98;888;3;646;1;0;2446
PA-GOIANESIA DO PARA;15;162;66;153;429;122;1079;37;593;0;0;2656
PA-GURUPA;5;269;35;110;363;162;1282;78;522;9;0;2835
PA-IGARAPE-ACU;19;98;69;176;558;185;1430;34;523;2;0;3094
PA-IGARAPE-MIRI;6;48;60;121;281;92;1302;106;744;21;293;3074
PA-INHANGAPI;11;68;65;48;108;65;454;19;193;1;0;1032
PA-IPIXUNA DO PARA;58;218;111;154;1356;148;1597;26;940;4;0;4612
PA-IRITUIA;2;51;23;123;68;36;223;2;20;0;0;548
PA-ITAITUBA;69;435;258;898;1915;967;9187;689;3345;10;3;17776
PA-ITUPIRANGA;28;150;59;125;211;128;1322;51;830;0;1;2905
PA-JACAREACANGA;0;43;24;68;133;39;352;12;171;1;0;843
PA-JACUNDA;15;381;59;496;416;195;2377;42;726;3;0;4710
PA-JURUTI;11;485;33;647;579;490;4075;110;1744;4;2;8180
PA-LIMOEIRO DO AJURU;1;2;0;7;5;46;60;3;9;0;0;133
PA-MAE DO RIO;16;144;42;114;315;129;1279;47;496;9;0;2591
PA-MAGALHAES BARATA;0;0;5;8;25;5;169;1;72;1;0;286
PA-MARABA;227;2945;1988;1637;2985;2833;36143;1616;8493;280;383;59530
PA-MARACANA;1;11;8;431;401;66;1046;15;927;0;25;2931
PA-MARAPANIM;13;23;9;103;223;138;977;37;396;3;1;1923
PA-MARITUBA;38;208;144;600;1541;1033;9224;342;1938;9;4;15081
PA-MEDICILANDIA;11;45;19;58;125;98;783;34;248;2;1;1424
PA-MELGACO;22;199;2;70;50;80;160;250;58;129;0;1020
PA-MOCAJUBA;0;2;9;99;243;97;845;37;741;2;1;2076
PA-MOJU;129;896;318;1281;1014;786;5502;127;1120;12;2;11187
PA-MOJUI DOS CAMPOS;3;14;7;27;101;46;731;34;359;1;0;1323
PA-MONTE ALEGRE;5;41;26;64;723;52;1810;34;1117;0;3;3875
PA-MUANA;5;9;3;165;89;19;437;16;270;0;0;1013
