,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,4106852,Cruzmaltina,2,,,,,,,8,1,,0,,5,8,
Valor,3513504,Cubatão,2,,,,,,,7,5,,0,,5,9,
Valor,2505006,Cubati,2,,,,,,,4,2,,1,,5,10,
Valor,5103403,Cuiabá,2,,,,,,,17,6,,0,,5,9,
Valor,2505105,Cuité,2,,,,,,,5,3,,0,,5,9,
Valor,2505238,Cuité de Mamanguape,2,,,,,,,7,3,,0,,4,8,
Valor,2505204,Cuitegi,2,,,,,,,6,4,,0,,5,9,
Valor,1100940,Cujubim,2,,,,,,,7,3,,0,,5,10,
Valor,5206602,Cumari,2,,,,,,,11,5,,0,,5,8,
Valor,2604908,Cumaru,2,,,,,,,3,4,,0,,4,9,
Valor,1502764,Cumaru do Norte,2,,,,,,,8,5,,1,,4,8,
Valor,2801900,Cumbe,2,,,,,,,11,3,,0,,5,8,
Valor,3513603,Cunha,2,,,,,,,9,4,,0,,5,7,
Valor,4204707,Cunha Porã,2,,,,,,,9,3,,0,,5,9,
Valor,4204756,Cunhataí,2,,,,,,,10,3,,0,,5,9,
Valor,3120839,Cuparaque,2,,,,,,,7,4,,0,,4,8,
Valor,2605004,Cupira,3,,,,,,,14,6,,1,,5,10,
Valor,2909901,Curaçá,2,,,,,,,9,2,,0,,4,8,
Valor,2203206,Curimatá,2,,,,,,,5,4,,0,,4,8,
Valor,1502772,Curionópolis,2,,,,,,,9,6,,0,,4,8,
Valor,4106902,Curitiba,6,10,10,8,3,6,3,16,8,2,0,1,5,10,8
Valor,4204806,Curitibanos,2,,,,,,,12,3,,0,,4,9,
Valor,4107009,Curiúva,2,,,,,,,11,4,,0,,5,8,
Valor,2203230,Currais,3,,,,,,,11,5,,1,,5,8,
Valor,2403103,Currais Novos,2,,,,,,,3,4,,0,,5,7,
Valor,2505279,Curral de Cima,2,,,,,,,7,3,,0,,5,9,
Valor,3120870,Curral de Dentro,2,,,,,,,9,4,,0,,4,9,
Valor,1502806,Curralinho,2,,,,,,,6,4,,0,,5,8,
Valor,2203255,Curralinhos,2,,,,,,,2,1,,0,,4,8,
Valor,2203271,Curral Novo do Piauí,2,,,,,,,7,2,,0,,4,8,
Valor,2505303,Curral Velho,2,,,,,,,5,3,,0,,5,8,
Valor,1502855,Curuá,2,,,,,,,6,2,,0,,4,9,
Valor,1502905,Curuçá,2,,,,,,,5,3,,0,,4,10,
Valor,2103703,Cururupu,2,,,,,,,9,4,,0,,4,9,
Valor,5103437,Curvelândia,2,,,,,,,9,4,,0,,5,9,
Valor,3120904,Curvelo,2,,,,,,,9,4,,0,,5,9,
Valor,2605103,Custódia,2,,,,,,,12,4,,0,,5,9,
Valor,1600212,Cutias,2,,,,,,,4,3,,0,,4,6,
Valor,5206701,Damianópolis,2,,,,,,,9,2,,0,,5,8,
Valor,2505352,Damião,2,,,,,,,7,6,,0,,5,9,
Valor,5206800,Damolândia,2,,,,,,,6,3,,1,,5,9,
Valor,1706506,Darcinópolis,2,,,,,,,5,2,,0,,5,8,
Valor,2910008,Dário Meira,2,,,,,,,5,2,,0,,5,8,
Valor,3121001,Datas,2,,,,,,,6,4,,0,,4,8,
Valor,4306304,David Canabarro,2,,,,,,,6,6,,0,,5,9,
Valor,5206909,Davinópolis,2,,,,,,,11,3,,0,,5,8,
Valor,2103752,Davinópolis,2,,,,,,,6,2,,0,,5,9,
Valor,3121100,Delfim Moreira,2,,,,,,,9,5,,0,,5,8,
Valor,3121209,Delfinópolis,2,,,,,,,6,5,,0,,5,8,
Valor,2702405,Delmiro Gouveia,2,,,,,,,7,5,,0,,5,9,
Valor,3121258,Delta,2,,,,,,,10,5,,0,,5,8,
Valor,2203305,Demerval Lobão,2,,,,,,,7,3,,0,,4,8,
Valor,5103452,Denise,2,,,,,,,6,2,,0,,5,7,
Valor,5003454,Deodápolis,2,,,,,,,11,5,,0,,5,10,
Valor,2304269,Deputado Irapuan Pinheiro,2,,,,,,,8,5,,0,,3,5,
Valor,4306320,Derrubadas,2,,,,,,,10,5,,0,,5,10,
Valor,3513702,Descalvado,2,,,,,,,11,4,,0,,5,8,
Valor,4204905,Descanso,2,,,,,,,13,7,,0,,5,9,
Valor,3121308,Descoberto,2,,,,,,,2,3,,0,,5,8,
Valor,2505402,Desterro,2,,,,,,,6,5,,0,,5,9,
Valor,3121407,Desterro de Entre Rios,2,,,,,,,5,5,,0,,5,8,
Valor,3121506,Desterro do Melo,2,,,,,,,7,6,,0,,4,9,
Valor,4306353,Dezesseis de Novembro,2,,,,,,,5,1,,0,,5,8,
Valor,3513801,Diadema,2,,,,,,,16,5,,0,,5,8,
Valor,2505600,Diamante,2,,,,,,,4,4,,0,,4,9,
Valor,4107157,Diamante D'Oeste,2,,,,,,,4,4,,0,,5,10,
Valor,4107108,Diamante do Norte,2,,,,,,,9,4,,0,,5,9,
Valor,4107124,Diamante do Sul,2,,,,,,,5,3,,0,,5,8,
Valor,3121605,Diamantina,2,,,,,,,14,7,,0,,4,7,
Valor,5103502,Diamantino,2,,,,,,,9,6,,0,,4,9,
Valor,1707009,Dianópolis,2,,,,,,,11,2,,0,,5,10,
Valor,2910057,Dias d'Ávila,2,,,,,,,9,6,,0,,5,8,
Valor,4306379,Dilermando de Aguiar,2,,,,,,,9,5,,0,,5,9,
Valor,3121704,Diogo de Vasconcelos,2,,,,,,,8,4,,0,,4,7,
Valor,3121803,Dionísio,2,,,,,,,2,6,,0,,4,8,
Valor,4205001,Dionísio Cerqueira,2,,,,,,,12,6,,0,,5,8,
Valor,5207105,Diorama,2,,,,,,,8,3,,0,,4,8,
